state,avgprice,avgusdprice
Abia,22896.413,49.696400000000004
Adamawa,14853.899,32.240210000000005
Borno,2000.1473764258556,4.258219011406844
Gombe,15349.993333333334,33.31698
Jigawa,12943.961153846154,28.094715384615387
Kaduna,13489.84181818182,29.27953636363636
Kano,14101.967586206896,30.608158620689657
Katsina,13905.396428571428,30.1815
Kebbi,15475.035,33.58838
Lagos,14598.088965517241,31.6849724137931
Oyo,13794.084827586208,29.9399
Yobe,1233.537802795031,2.6056205745341616
Zamfara,13419.248666666668,29.126326666666667
